2025-11-23 21:03:25 - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-11-23 21:03:25 - [33mPress CTRL+C to quit[0m
2025-11-23 21:03:39 - 127.0.0.1 - - [23/Nov/2025 21:03:39] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:40 - 127.0.0.1 - - [23/Nov/2025 21:03:40] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:40 - 127.0.0.1 - - [23/Nov/2025 21:03:40] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:40 - 127.0.0.1 - - [23/Nov/2025 21:03:40] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:40 - 127.0.0.1 - - [23/Nov/2025 21:03:40] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:41 - 127.0.0.1 - - [23/Nov/2025 21:03:41] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:41 - 127.0.0.1 - - [23/Nov/2025 21:03:41] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:41 - 127.0.0.1 - - [23/Nov/2025 21:03:41] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:41 - 127.0.0.1 - - [23/Nov/2025 21:03:41] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:42 - 127.0.0.1 - - [23/Nov/2025 21:03:42] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:42 - 127.0.0.1 - - [23/Nov/2025 21:03:42] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:42 - 127.0.0.1 - - [23/Nov/2025 21:03:42] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:42 - 127.0.0.1 - - [23/Nov/2025 21:03:42] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:43 - 127.0.0.1 - - [23/Nov/2025 21:03:43] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:43 - 127.0.0.1 - - [23/Nov/2025 21:03:43] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:43 - 127.0.0.1 - - [23/Nov/2025 21:03:43] "GET /api/state HTTP/1.1" 200 -
2025-11-23 21:03:43 - 127.0.0.1 - - [23/Nov/2025 21:03:43] "GET /api/state HTTP/1.1" 200 -
